Variable,Description,Time Collected,Collected by,Data Type
Study Title (O),Title of original article,Prior to replication process,Coordinator,Open text
Authors (O),Authors of the original article,Prior to replication process,Coordinator,Open text
Journal (O),Journal in which original article appeared,Prior to replication process,Coordinator,Open text
Volume (O),Volume in which original article appeared,Prior to replication process,Coordinator,Integer
Issue (O),Issue in which original article appeared,Prior to replication process,Coordinator,Integer
Pages (O),Pages on which original article appeared,Prior to replication process,Coordinator,Range
Project URL,Link to OSF project for the replication,During replication process,Coordinator,
Descriptors (O),MeSH terms used to describe the topics of the article,Prior to replication process,Coordinator,Open text
Number of authors (O),Number of authors on the original article,After replication process,Coordinator,Integer
Number of authors (R),Number of authors on the replication,After replication process,Coordinator,Integer
1st author (O),Author listed first on original article,After replication process,Coordinator,Open text
"Citation count, 1st author (O)","Using Google Scholar, the citation count of the first author on the original article",After replication process,Coordinator,Integer
Institution of 1st author (O),Institution of the first author at the time of the original article's publication,After replication process,Coordinator,Open text
Senior author (O),"Author with the most experience, original article",After replication process,Coordinator,Open text
"Citation count, senior author (O)","Using Google Scholar, the citation count of the senior author on the original article",After replication process,Coordinator,Integer
Institution of senior author (O),Institution of the senior author at the time of the original article's publication,After replication process,Coordinator,Open text
1st author (R),Author listed first on replicated article,After replication process,Coordinator,Open text
"Citation count, 1st author (R)","Using Google Scholar, the citation count of the first author on the replication",After replication process,Coordinator,Integer
Insitution of 1st author (R),Institution of the first author of the replication,After replication process,Coordinator,Open text
Senior author (R),"Author with the most experience, replication",After replication process,Coordinator,Open text
"Citation count, senior author (R)","Using Google Scholar, the citation count of the senior author on the replication",After replication process,Coordinator,Integer
Institution of senior author (R),Institution of the senior author of the replication,After replication process,Coordinator,Open text
"Citation count, paper (O)","Using Google Scholar, the citation count of the original article",After replication process,Coordinator,Integer
"Institution prestige, 1st author (O)","Based on the ratings of 96 volunteers, perceived prestige of the institution of original study's first author: Of the few most prestigious; Extremely prestigious; Very prestigious; Moderately prestigious; Slightly prestigious; Not at all prestigious",After replication process,Volunteer,Categorical
"Institution prestige, 1st author (R)","Based on the ratings of 96 volunteers, perceived prestige of the institution of replication's first author: Of the few most prestigious; Extremely prestigious; Very prestigious; Moderately prestigious; Slightly prestigious; Not at all prestigious",After replication process,Volunteer,Categorical
"Institution prestige, senior author (O)","Based on the ratings of 96 volunteers, perceived prestige of the institution of original study's senior author:  Of the few most prestigious; Extremely prestigious; Very prestigious; Moderately prestigious; Slightly prestigious; Not at all prestigious",After replication process,Volunteer,Categorical
"Institution prestige, senior author (R)","Based on the ratings of 96 volunteers, perceived prestige of the institution of replication's senior author:  Of the few most prestigious; Extremely prestigious; Very prestigious; Moderately prestigious; Slightly prestigious; Not at all prestigious",After replication process,Volunteer,Categorical
Number of studies (O),Number of studies/experiments listed as sections in the original article,After replication process,"Non-replicator, volunteer",Integer
Discipline (O),"Domain within which the replicated article falls: behavioral neuroscience/comparative, clinical, cognitive, developmental, education/school, health, industrial/organizational, neuroscience, quantitative, social/personality",After replication process,"Non-replicator, volunteer",Categorical
Number of research sites (O),Number of sites original authors collected data in,After replication process,"Non-replicator, volunteer",Integer
Secondary data (O),"Amount of pre-existing (secondary) data used in analyses: collected themselves (ie. no secondary data), some of both (ie. secondary and primary data included), pre-existing (ie. exclusively secondary data)",After replication process,"Non-replicator, volunteer",Categorical
Methodology expertise required (O),"Response of a volunteer, naive to results, who reports how much expertise they believe to be needed to properly execute the methodologies employed in the replicated study: no expertise, slight expertise, moderate expertise, strong expertise, extreme expertise",After replication process,"Non-replicator, volunteer",Categorical
Opportunity for expectancy bias (O),"Response of a volunteer, naive to results, who reports the extent to which the methodology of the study provides opportunity for the researchers’ expectations about the effect to influence the results: no opportunity, slight opportunity, moderate opportunity, strong opportunity, extreme opportunity",After replication process,"Non-replicator, volunteer",Categorical
Opportunity for lack of diligence (O),"Response of a volunteer, naive to results, who reports the extent to which the results of the study could be affected by a lack of diligence: no opportunity, slight opportunity, moderate opportunity, strong opportunity, extreme opportunity",After replication process,"Non-replicator, volunteer",Categorical
Surprising result (O),"Average response of at least 3 volunteers, naive to results, who report how suprising they found the key effect to be: 1: not at all, 2: slightly, 3: somewhat, 4: moderately, 5: very, 6: extremely",After replication process,"Non-replicator, volunteer",Categorical
Exciting result (O),"Average response of at least 3 volunteers, naive to results, who report how exciting they found the key effect to be: 1: not at all, 2: slightly, 3: somewhat, 4: moderately, 5: very, 6: extremely",After replication process,"Non-replicator, volunteer",Categorical
Internal conceptual replications (O),"From the entire original article, the number of conceptual replications of the key statistic (ie. tests of the same hypothesis)",After replication process,,
Successful conceptual replications (O),"From the entire original article, the number of conceptual replications that successfully found a significant replication of the key statistic (ie. tests of the same hypothesis)",,,
Internal direct replications (O),"From the entire original article, the number of direct replications of the key statistic (ie. tests of the same hypothesis, using the same methodology)",,,
Successful direct replications (O),"From the entire original article, the number of direct replications that successfully found a significant replication of the key statistic (ie. tests of the same hypothesis, using the same methodology)",,,
Feasibility (O),"Volunteer coded (pre-2013) as 0: feasible or 1: infeasible, considering the population, resources, and expertise needed to conduct a replication",Prior to replication process,Volunteer,Categorical
Status  (R),"Whether or not the article is, or ever was, claimed. 0: never claimed; 1: claimed; 2: withdrawn; 3: reclaimed; 4: withdrawn twice (by different researchers); 5: reclaimed for a third time",Prior to replication process,Coordinator,Categorical
Completion (R),"Whether or  not the replication, if one exists, has reported final results. 0: not replicated or incomplete; 1: complete; 2: done with data collection by analysis of RPP results",After replication process,Coordinator,Dichotomous
